Weight,usd,Source,Target
655.3,3439.538,ARG,AUS
100.624,1000.628,ARG,AUT
1240.068,5401.567,ARG,BEL
26115.997,89928.519,ARG,BRA
10447.175,56455.459,ARG,CAN
2538.018,17035.386,ARG,CHN
417.508,1735.111,ARG,CZE
2813.678,7607.503,ARG,DNK
1070.954,3697.895,ARG,FIN
2923.2000000000003,19562.219999999998,ARG,FRA
5510.318,14874.552,ARG,DEU
2891.627,10210.729,ARG,IRL
240.68,1136.297,ARG,ITA
336.414,330.166,ARG,CIV
1772.946,8466.177,ARG,JPN
1267.6460000000002,8227.716,ARG,KOR
138.35,417.621,ARG,LTU
16882.637,30834.55,ARG,MEX
5204.997,23425.81,ARG,NLD
911.402,4588.986,ARG,NOR
1266.539,4339.950000000001,ARG,POL
3354.6420000000003,9190.812,ARG,SWE
2154.192,13103.464,ARG,CHE
316.329,1446.688,ARG,UKR
47839.587,130426.787,ARG,GBR
42314.795,212983.68500000003,ARG,USA
366.999,2337.556,AUS,AUT
11497.072,13709.87,AUS,BEL
445.32899999999995,1679.589,AUS,BRA
73407.459,117982.27,AUS,CAN
1494.356,7170.5830000000005,AUS,CHN
387.508,1755.427,AUS,CZE
23460.691,43106.262,AUS,DNK
6542.486,14399.104000000001,AUS,FIN
7291.461,14676.086,AUS,FRA
22612.858,34955.697,AUS,DEU
7201.817,31888.194,AUS,IRL
191.669,472.11899999999997,AUS,ITA
11733.699,36548.585,AUS,JPN
3735.959,21067.105,AUS,KOR
440.861,1716.498,AUS,MEX
19793.498,35266.293,AUS,NLD
4254.159,10129.328,AUS,NOR
1016.632,3543.6220000000003,AUS,POL
3943.9170000000004,13260.36,AUS,SWE
1257.43,5187.138,AUS,CHE
478.30699999999996,1844.116,AUS,UKR
188471.63,268389.36699999997,AUS,GBR
140105.565,287123.362,AUS,USA
369.799,4967.998,CAN,CHN
108.47500000000001,866.351,CAN,POL
225165.77000000002,71560.927,CAN,USA
556.711,2990.562,CHL,AUS
160.852,834.359,CHL,AUT
7370.512,17744.769,CHL,BEL
53698.700999999994,176099.65,CHL,BRA
20848.078999999998,63695.96200000001,CHL,CAN
94304.537,206699.537,CHL,CHN
1931.002,7619.353999999999,CHL,CZE
12587.87,28569.913,CHL,DNK
7146.95,16646.947,CHL,FIN
14603.079,49165.381,CHL,FRA
24218.712,42688.339,CHL,DEU
10301.020999999999,43730.920999999995,CHL,IRL
1530.03,1467.627,CHL,ITA
53051.523,133087.482,CHL,JPN
10227.196,43493.95,CHL,KOR
1035.149,3154.322,CHL,LTU
22117.351,58559.301999999996,CHL,MEX
16198.428,65339.525,CHL,NLD
5449.759,10313.596,CHL,NOR
4430.779,14976.832,CHL,POL
4528.549,16692.32,CHL,RUS
7459.381,16742.961,CHL,SWE
1436.998,6259.582,CHL,CHE
411.505,1215.979,CHL,UKR
100073.282,183107.698,CHL,GBR
66853.048,157454.334,CHL,USA
19902.033,292547.886,FRA,AUS
5317.775,97809.842,FRA,AUT
133145.03999999998,664425.39,FRA,BEL
6284.252,51353.094,FRA,BRA
58590.494999999995,510132.172,FRA,CAN
