id,label,degree_in,degree_out,strength_out_tons,strength_in_tons,betweenness,eigenvector,community,lng,lat
ARG,ARG,0,26,180725.623,0,0,0.054351999022575655,1,-64.173331,-33.501159
AUS,AUS,10,23,530131.362,97248.82,14,0.23220077403212785,1,134.04972,-24.129522
CAN,CAN,13,3,225644.04400000002,363186.91000000003,25,0.27756006637770747,1,-101.9107,60.324287
CHL,CHL,0,26,542531.0040000001,0,0,0.13294360480206338,2,-72.318871,-38.151771
FRA,FRA,12,29,1205592.4859999998,611778.2520000001,172,0.817371767885317,3,NA,NA
DEU,DEU,12,28,291758.868,1323573.873,94,0.9719596184934777,4,9.678348,50.961733
HUN,HUN,0,23,136998.233,0,0,0.03306899941226319,4,19.447867,47.086841
ITA,ITA,10,29,2020666.8339999998,198781.89500000002,89,1,4,11.076907,44.732482
LTU,LTU,9,4,70268.928,83078.079,0,0.060158457040724964,4,24.089932,55.103703
MDA,MDA,0,19,48232.522000000004,0,0,0.007216462738080478,4,28.487904,47.434999
NZL,NZL,0,22,272515.451,0,0,0.10386720371980747,1,172.787,-39.759
PRT,PRT,5,28,242325.88600000003,273863.316,1,0.2867845660455596,3,-8.271754,39.606675
ZAF,ZAF,0,25,271367.20099999994,0,0,0.10757452319907884,1,23.665734,-29.708776
ESP,ESP,0,30,2058325.4170000006,0,0,0.956522776637152,3,-3.464718,40.090953
USA,USA,14,23,205909.242,1194644.4780000004,120,0.60659944647446,1,-97.482602,39.538479
AUT,AUT,11,0,0,78541.911,0,0.05793303035326814,4,14.130515,47.518859
BEL,BEL,13,0,0,337480.01999999996,0,0.21506062387105046,3,4.800448,50.785392
BRA,BRA,10,0,0,132517.242,0,0.03296031526143753,2,-49.55945,-12.098687
CHN,CHN,14,0,0,222203.01400000002,0,0.08880006479755251,2,106.337289,32.498178
CZE,CZE,13,0,0,136269.078,0,0.0682745803349171,4,15.377555,49.882364
DNK,DNK,12,0,0,181134.75400000002,0,0.09557391798338613,1,9.018163,55.966965
FIN,FIN,12,0,0,63775.853,0,0.03294091657720593,3,27.276449,63.252361
IRL,IRL,12,0,0,74537.01299999998,0,0.03748645684316617,2,-7.798588,53.078726
CIV,CIV,7,0,0,75647.15000000001,0,0.057284424576330865,3,-5.568618,7.49139
JPN,JPN,13,0,0,221731.21599999996,0,0.11685084246895742,2,138.44217,36.142538
KOR,KOR,12,0,0,55750.312000000005,0,0.028604349773956886,2,128.129504,36.384924
MEX,MEX,9,0,0,91659.324,0,0.04230877469107515,2,-102.289448,23.919988
NLD,NLD,13,0,0,423713.89,0,0.2668064505354595,3,5.61144,52.422211
NOR,NOR,12,0,0,87369.31100000002,0,0.052987644371176694,4,NA,NA
POL,POL,15,0,0,146246.239,0,0.09027259126110218,4,19.490468,51.990316
SWE,SWE,12,0,0,181123.414,0,0.10856166108946334,3,19.01705,65.85918
CHE,CHE,12,0,0,164621.85199999998,0,0.11424304471643634,4,7.463965,46.719114
UKR,UKR,14,0,0,47307.239,0,0.03239274788385756,4,32.140865,49.724739
GBR,GBR,13,0,0,1172652.155,0,0.5341503018636293,1,-2.116346,54.402739
RUS,RUS,10,0,0,159861.42400000003,0,0.06579538005934212,4,44.686469,58.249357
ROU,ROU,7,0,0,50778.122,0,0.025009013320881165,4,24.972624,45.733237
SVK,SVK,7,0,0,51916.945,0,0.016866090364715064,4,19.049868,48.734044
